"Table 5.6.B.  Average Retail Price of Electricity to Ultimate Customers by End-Use Sector, by State, Year-to-Date through January 2012 and 2011",,from: http://www.eia.gov/state/state-energy-profiles-more-prices.cfm,,,,,,,,
(Cents per Kilowatthour),,,,,,,,,,
,Residential,,Commercial1,,Industrial1,,Transportation[1],,All Sectors,
Census Division,,,,,,,,,,
and State,,,,,,,,,,
,2012,2011,2012,2011,2012,2011,2012,2011,2012,2011
New England,15.93,16.03,14.02,14.58,12.14,12.93,7.39,8.08,14.4,14.85
Connecticut,17.33,18.05,15.02,15.98,13.42,14.1,11.16,11.06,15.91,16.79
Maine,15.21,15.75,12.72,13.2,8.2,9.96,--,--,12.68,13.53
Massachusetts,15.21,14.66,13.82,14.3,12.9,13.58,5.18,6.44,14.05,14.19
New Hampshire,16.19,16.33,13.64,14.27,11.75,12.8,--,--,14.48,14.97
Rhode Island,14.75,16.21,13.18,13.23,10.94,11.89,13.98,13.62,13.57,14.39
Vermont,16.65,15.73,14.17,13.71,10.18,9.99,--,--,14.21,13.65
Middle Atlantic,14.96,14.91,12.63,13.31,7.63,8.62,11.51,12.13,12.64,13.06
New Jersey,16.09,16.12,12.85,13.27,10.64,11.99,9.55,11.07,13.9,14.3
New York,16.83,17.31,14.46,15.45,6.97,8.97,13.04,13.38,14.67,15.55
Pennsylvania,12.92,12.53,9.43,9.88,7.33,8.09,7.24,8.77,10.22,10.42
East North Central,11.51,10.55,9.4,9.02,6.49,6.39,6.78,6.86,9.21,8.79
Illinois,11.23,10.33,8.26,8.07,6.18,6.45,6.66,6.77,8.64,8.42
Indiana,9.87,9.17,9,8.41,6.41,6.07,9.43,8.96,8.19,7.77
Michigan,13.48,12.11,10.36,9.61,7.18,7.08,7.41,9.8,10.68,9.86
Ohio,10.99,10.05,9.65,9.33,6.16,5.95,6.61,6.41,9.03,8.61
Wisconsin,12.77,12.35,10.33,10.12,7.14,7.03,--,--,10.17,9.98
West North Central,9.39,8.74,7.74,7.41,5.79,5.67,6.86,6.51,7.84,7.52
Iowa,9.81,9.27,7.24,7.3,4.87,4.98,--,--,7.2,7.19
Kansas,10.14,9.43,8.65,8.01,6.62,6.41,--,--,8.63,8.19
Minnesota,10.76,10.28,8.26,8.08,6.3,6.18,8.53,7.96,8.57,8.35
Missouri,8.6,7.95,7.2,6.85,5.33,5.23,5.56,5.36,7.48,7.11
Nebraska,8.55,7.77,7.85,7.36,5.97,5.63,--,--,7.51,7.01
North Dakota,7.63,6.95,6.99,6.62,6.2,5.69,--,--,6.99,6.52
South Dakota,9.11,8.33,7.71,7.29,6.24,6.46,--,--,8.05,7.65
South Atlantic,10.9,10.48,9.41,9.31,6.42,6.58,7.75,9.35,9.61,9.52
Delaware,13.07,12.94,9.78,10.95,8.13,9.98,--,--,10.84,11.72
District of Columbia,11.77,13.62,12.32,13.19,4.64,7.43,8.63,12.03,11.94,13.15
Florida,11.59,11.49,9.94,9.9,8.35,8.92,8.34,8.96,10.65,10.72
Georgia,10.1,9.71,9.46,9.64,5.68,6.37,7.02,7.24,8.89,9.03
Maryland,12.59,13.22,10.8,11.58,8.27,8.89,6.97,9.43,11.43,12.21
North Carolina,10.08,9.41,8.38,7.71,6.11,5.76,7.31,6.76,8.85,8.36
South Carolina,11.08,10.17,9.28,9.08,5.74,5.75,--,--,8.83,8.63
Virginia,10.51,9.61,8.17,7.48,6.74,6.52,9,7.34,9.05,8.46
West Virginia,9.49,8.78,8.23,7.76,6.21,5.74,9.98,10.07,8.12,7.67
East South Central,9.77,9.4,9.61,9.39,5.84,5.86,--,12.9,8.26,8.21
Alabama,10.81,10.28,10.47,10.18,5.68,5.97,--,--,8.75,8.79
Kentucky,8.79,8.47,8.18,7.85,5.25,5.07,--,--,6.96,6.84
Mississippi,9.94,9.62,9.51,9.57,6.04,6.29,--,--,8.47,8.59
Tennessee,9.63,9.28,9.96,9.76,6.91,6.79,--,12.9,8.97,8.79
West South Central,10.09,9.8,8.29,8.4,5.47,5.57,9.9,9.67,8.18,8.19
Arkansas,8.45,7.85,7.59,6.89,5.26,5.07,11.32,10.77,7.14,6.74
Louisiana,8.26,8.01,8.16,7.98,4.94,5.09,8.19,7.92,7.02,7.07
Oklahoma,8.65,8.03,7.14,7.1,5.06,5.11,--,--,7.17,7.01
Texas,11.04,10.92,8.54,8.83,5.76,5.88,10.17,9.93,8.78,8.88
Mountain,9.96,9.61,8.24,8.03,5.53,5.44,8.79,8.46,8.09,7.91
Arizona,9.97,9.83,8.62,8.56,5.66,5.92,--,--,8.68,8.66
Colorado,10.54,10.36,8.41,8.31,6.48,6.26,8.77,8.93,8.68,8.53
Idaho,8,7.85,6.49,6.43,4.7,4.53,--,--,6.66,6.57
Montana,9.59,9.1,8.92,8.76,5.15,5.51,--,--,8.19,8.12
Nevada,11.38,11.6,8.67,9.14,5.18,5.57,7.23,8.04,8.25,8.58
New Mexico,10.82,9.65,8.56,7.82,5.38,5.44,--,--,8.34,7.78
Utah,9.25,8.16,7.35,6.53,5.11,4.44,9.12,7.89,7.27,6.48
Wyoming,9.13,8.33,7.78,7.25,5.63,5,--,--,6.88,6.26
Pacific Contiguous,12.6,12.5,10.76,10.79,7.2,7.24,7.8,8.17,10.83,10.81
